"feature_id","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","ms_level"
"FT0105",249.963922730615,249.963467632248,249.964368198082,1084.75305175781,1083.1865234375,1093.70654296875,265,1,249,1
"FT0106",250.964950361971,250.963659104818,250.965852184339,1084.75256347656,1083.42077636719,1093.81030273438,169,1,161,1
"FT0107",251.165087959978,251.163936567095,251.202492429252,832.075988769531,776.794250488281,923.66943359375,275,1,206,1
"FT0108",251.056203414803,251.054400566457,251.200737440713,309.473098754883,231.896377563477,426.816528320312,164,0,156,1
"FT0109",252.168325378353,252.167154630082,252.169399521225,832.373657226562,830.949401855469,923.66943359375,165,0,164,1
"FT0110",253.091879989773,252.900086204284,253.11104261877,43.4947128295898,25.7214794158936,132.899154663086,287,0,163,1
"FT0111",253.21700280371,253.215739904748,253.217887859602,892.1240234375,863.757873535156,945.662475585938,167,0,163,1
"FT0112",254.040528751206,254.039588268829,254.218999111052,275.491104125977,267.394866943359,276.589874267578,130,0,130,1
"FT0113",254.898925276172,254.896106503426,254.949184549145,26.6219882965088,25.7234802246094,29.954029083252,208,0,140,1
"FT0114",255.232423015047,255.231615731285,255.233659165586,925.143432617188,895.199401855469,985.399780273438,251,1,250,1
"FT0115",256.236041911494,256.234252564899,256.237292778297,925.055725097656,895.199401855469,926.32958984375,154,1,152,1
"FT0116",259.021794825745,258.9155212539,259.127085127105,29.2681179046631,25.4831943511963,99.4393768310547,195,0,144,1
"FT0117",261.100857335794,261.007476492886,261.135075360323,299.454238891602,243.488098144531,400.742828369141,228,0,140,1
"FT0118",262.929802852759,262.926322126727,262.946965843925,26.2485456466675,25.2853088378906,26.8634014129639,160,0,160,1
"FT0119",263.11402536541,263.112267666878,263.1654785074,160.68172454834,65.236701965332,258.556854248047,408,0,170,1
"FT0120",263.931245889623,263.928820116976,264.119304117987,26.2202501296997,25.2853088378906,69.5812683105469,158,0,158,1
"FT0121",265.051074474293,264.926106223199,265.111483342071,30.9510231018066,25.2853088378906,77.0446014404297,317,1,167,1
"FT0122",265.14781882145,265.092941115346,265.217450819596,647.155120849609,432.279999084473,725.286193847656,442,1,253,1
"FT0123",266.151255656663,266.149254422947,266.184995813857,648.862121582031,458.666999084473,658.697387695312,211,0,151,1
"FT0124",267.039025748711,267.034979789546,267.127341326142,37.3469829559326,26.9216499328613,134.893341064453,438,0,171,1
"FT0125",268.111548408054,268.037138882948,268.130865289924,63.821647644043,30.5856990814209,153.253814697266,195,0,168,1
"FT0126",268.93775347454,268.881558417222,269.112789732223,38.0069427490234,26.0106792449951,126.464660644531,162,0,130,1
"FT0127",269.10224174534,269.066240192535,269.247280301701,263.376800537109,187.789352416992,296.66099609375,274,0,168,1
"FT0128",269.045142000423,269.044170590625,269.212229957091,410.108596801758,402.386383056641,416.76199609375,36,1,34,1
"FT0129",270.105802227014,270.076837728015,270.125424611463,263.500396728516,236.701873779297,279.807373046875,177,0,163,1
"FT0130",271.080877527424,271.068131354055,271.227044397383,162.506561279297,103.25057220459,238.900207519531,271,0,163,1
"FT0131",272.959088152357,272.957908729857,273.12497726335,24.2728290557861,21.2780647277832,218.460815429688,196,0,171,1
"FT0132",273.124667441532,273.075411132953,273.171258250043,376.702941894531,278.792388916016,443.708374023438,362,1,194,1
"FT0133",273.960224368203,273.958791517708,274.127963407545,24.2713775634766,21.2780647277832,252.160598754883,189,0,172,1
"FT0134",274.127086351846,274.126158925057,274.174783692688,377.389556884766,356.892425537109,443.708374023438,201,1,193,1
"FT0135",274.957532915457,274.956347834957,274.976836365386,24.2350177764893,21.2780647277832,124.545989990234,173,0,171,1
"FT0136",275.127203979802,275.076683660051,275.201616774977,376.72705078125,298.458312988281,453.255999084473,273,1,186,1
"FT0137",275.021876106256,275.018595515949,275.149561836698,41.3723678588867,26.3040161132812,113.536605834961,198,0,146,1
"FT0138",275.95917804536,275.957926721457,275.985438940268,24.2478904724121,21.2780647277832,124.545989990234,169,0,167,1
"FT0139",276.956548276223,276.954639089003,277.129143901226,24.5686359405518,23.4418640136719,91.0137786865234,249,0,164,1
"FT0140",277.128661802256,277.097650337077,277.217311712312,234.586151123047,129.529281616211,311.299835205078,239,0,171,1
"FT0141",277.216777234667,277.212458956335,277.218323558495,691.366001220703,642.208999084473,708.546986816406,181,0,143,1
"FT0142",277.119364634061,277.116569280535,277.217779435887,378.000335693359,376.746246337891,510.087999084473,155,1,153,1
"FT0143",277.217056539746,277.180151724514,277.218463334212,832.0517578125,808.052734375,923.66943359375,219,1,208,1
"FT0144",278.220580875587,278.218524340561,278.221873308604,832.045227050781,817.160461425781,923.66943359375,185,0,184,1
"FT0145",278.910269894434,278.821620926324,278.935448035325,26.3244915008545,24.6176490783691,28.2769603729248,186,0,155,1
"FT0146",279.051230550611,279.049863559198,279.232931743483,271.875396728516,223.390350341797,353.16299609375,409,0,171,1
"FT0147",279.108441047395,279.049436773405,279.160248165693,106.60514831543,49.0264167785645,168.067932128906,279,0,171,1
"FT0148",279.232360694986,279.108450343588,279.234385086486,751.524261474609,642.208999084473,759.160001220703,142,0,135,1
"FT0149",279.232064513503,279.22143167467,279.233639892171,878.665405273438,829.900146484375,941.3857421875,355,1,186,1
"FT0150",280.082913906338,280.053531860615,280.236075143257,227.271766662598,225.39811706543,418.480194091797,236,0,145,1
"FT0151",280.235775284665,280.225174908654,280.236882812845,882.090209960938,831.680541992188,884.479797363281,163,0,161,1
"FT0152",280.907794088638,280.904018602366,281.123615536939,26.2385129928589,24.6166439056396,87.3621673583984,144,0,133,1
"FT0153",281.247799605568,281.237722708351,281.249489288002,941.263732910156,859.44775390625,973.12548828125,210,1,125,1
"FT0154",283.060919590648,283.055455314499,283.061894266733,534.998443603516,531.906555175781,537.392700195312,226,1,225,1
"FT0155",283.117915194957,283.061555687554,283.139205213554,294.399780273438,292.951001220703,418.741999084473,203,0,161,1
"FT0156",283.263640938071,283.262413872167,283.264703630735,1003.0969543457,1001.41516113281,1033.4033203125,254,1,252,1
"FT0157",284.064186161236,284.063162302526,284.065249936448,534.998352050781,532.677368164062,536.347412109375,195,1,193,1
"FT0158",284.267228386282,284.266120512451,284.268621516017,1003.095703125,1002.08721923828,1030.27014160156,36,1,35,1
"FT0159",285.061663816091,285.05991613888,285.097821680498,156.632568359375,123.040428161621,254.567047119141,245,0,151,1
"FT0160",285.066649124786,285.065425850252,285.076948685572,534.9990234375,508.745758056641,536.679016113281,201,1,192,1
"FT0161",285.082547685901,284.949722247771,285.102400437084,28.9569206237793,28.1149024963379,69.1832733154297,195,0,159,1
"FT0162",288.993868229263,288.935362353121,289.129019218749,36.6587104797363,21.2780647277832,133.453979492188,487,0,171,1
"FT0163",289.164250389515,289.131655827315,289.180598438941,205.668571472168,185.437133789062,276.148986816406,164,0,138,1
"FT0164",289.938343989853,289.936836007961,290.106157381222,24.2075395584106,21.2780647277832,173.991333007812,188,0,168,1
"FT0165",290.935455259357,290.934128516868,291.109998852556,24.1912441253662,21.2780647277832,64.6666793823242,181,0,169,1
"FT0166",291.196252348901,291.144895939034,291.199220563877,661.908050537109,610.183837890625,818.338623046875,352,0,166,1
"FT0167",291.144358262239,291.099776171935,291.19692066492,282.988952636719,180.077362060547,333.20199609375,267,0,158,1
"FT0168",292.199777937466,292.198542505248,292.200824893618,623.178100585938,610.183837890625,755.630004882812,239,0,160,1
"FT0169",293.118248726336,292.929284394133,293.12567992674,182.228698730469,23.8446884155273,407.675903320312,599,0,173,1
"FT0170",293.211577377412,293.179361882014,293.213014490712,645.10888671875,580.127999084473,705.789978027344,403,0,166,1
"FT0171",293.175360046991,293.174342879709,293.212362010095,536.698669433594,436.335999084473,565.179870605469,175,1,167,1
"FT0172",293.17922773073,293.175832473475,293.212749378701,757.511566162109,705.963317871094,906.847534179688,268,0,166,1
"FT0173",294.215225009239,294.213863579887,294.216559521093,650.401985839844,631.442504882812,716.407470703125,259,0,163,1
"FT0174",294.115443278316,294.09739623131,294.215637094671,184.855117797852,72.1581115722656,247.502624511719,215,0,164,1
"FT0175",294.178719963332,294.177519509177,294.215761581331,536.700317382812,451.94399609375,578.775999084473,172,1,167,1
"FT0176",295.048966897793,295.044835337628,295.227931218243,231.54167175293,110.804893493652,277.532135009766,351,0,172,1
"FT0177",295.227401827226,295.045786577726,295.228773716158,690.274780273438,585.43017578125,892.478454589844,461,0,167,1
"FT0178",295.082122017425,295.045067831865,295.228625246072,380.721466064453,337.814605712891,453.255999084473,179,0,168,1
"FT0179",296.066418783549,296.048295389412,296.230998462092,232.318054199219,152.001419067383,271.042602539062,538,0,171,1
"FT0180",296.085563255324,296.048594768277,296.231427554897,380.744842529297,338.09765625,499.262999084473,182,0,167,1
"FT0181",297.118199308225,296.88156111669,297.123511363398,57.6563529968262,25.2141857147217,142.149673461914,339,0,166,1
"FT0182",297.158233109837,297.050903181461,297.244080253747,676.677612304688,480.274841308594,794.767700195312,786,1,205,1
"FT0183",297.055643440166,297.049955010682,297.242808208271,231.878204345703,182.570205688477,319.66899609375,328,0,164,1
"FT0184",298.155992189664,298.154556173175,298.247253964848,663.430603027344,539.539999084473,731.408874511719,275,0,148,1
"FT0185",299.078411377946,299.076097906203,299.186258761184,171.18391418457,113.21549987793,235.464889526367,369,0,169,1
"FT0186",299.151606887778,299.150219657759,299.259026509029,663.944946289062,566.598999084473,886.992370605469,221,0,137,1
"FT0187",300.108357701533,300.078602446326,300.129697379088,162.396499633789,41.7544021606445,275.619476318359,789,0,172,1
"FT0188",301.091543378124,301.054945637484,301.200259869859,162.757568359375,40.1369552612305,233.888916015625,643,0,171,1
"FT0189",303.143807712267,303.131627751974,303.181056173895,306.760925292969,147.3466796875,426.482788085938,302,0,162,1
"FT0190",304.991051808932,304.909169924691,305.001012986125,31.4219694137573,11.1354093551636,129.774353027344,486,0,172,1
"FT0191",305.125085389414,305.012932809978,305.211720709345,175.627914428711,31.6586894989014,265.489593505859,434,0,171,1
"FT0192",305.114477094345,305.071349136344,305.181436660067,376.857727050781,291.334411621094,443.708374023438,336,1,195,1
"FT0193",305.994552991351,305.911919930752,306.129052836076,36.6532821655273,23.5027656555176,74.3170166015625,265,0,161,1
"FT0194",306.11600193609,305.994415758069,306.117297852724,377.065353393555,355.530090332031,378.762908935547,24,1,23,1
"FT0195",306.918793694463,306.90936588008,306.920300729328,1120.03491210938,949.451999084473,1141.86584472656,333,1,186,1
"FT0196",306.992529942735,306.93604233884,306.998560431545,36.3221626281738,18.4229717254639,129.774353027344,179,0,138,1
"FT0197",307.190654238397,307.15871517988,307.19357339278,620.911986816406,584.705627441406,694.415954589844,345,0,165,1
"FT0198",307.125649774222,307.015942567907,307.191461888592,174.583343505859,38.3536148071289,340.591999084473,417,0,172,1
"FT0199",309.046562119247,308.907168173678,309.119076792779,40.0316848754883,24.1077709197998,137.139007568359,231,0,138,1
"FT0200",309.206243587439,309.152898337515,309.207832594306,570.629272460938,492.847991943359,649.6103515625,497,0,166,1
"FT0201",309.061029080935,309.023131968936,309.207184596465,232.912200927734,158.400985717773,291.24999609375,328,0,172,1
"FT0202",309.097704255894,309.023577525105,309.207359637855,418.394622802734,364.145080566406,480.879058837891,246,0,168,1
"FT0203",309.173777517615,309.024731154462,309.206767054297,701.800933837891,655.70849609375,816.017822265625,184,1,167,1
"FT0204",310.092786890185,310.049356313726,310.115594536937,149.336532592773,31.9622993469238,168.464080810547,251,0,169,1
"FT0205",310.091935881633,310.083545806727,310.210793389106,281.008666992188,221.48599609375,290.383117675781,251,0,163,1
"FT0206",310.209995406926,310.178108275933,310.212144821887,588.156555175781,515.501999084473,660.294738769531,280,0,158,1
"FT0207",310.100935027269,310.092043529296,310.211420924892,418.366271972656,386.535339355469,480.520202636719,169,0,165,1
"FT0208",311.096436205196,310.931959243338,311.131344245072,149.239372253418,25.6270999908447,164.342376708984,72,1,54,1
"FT0209",311.16821200822,311.112713947831,311.222194472375,705.09130859375,657.28515625,781.486938476562,437,1,229,1
"FT0210",311.112380324199,311.055376769865,311.222785541226,263.830576843262,201.808395385742,304.774536132812,336,0,172,1
"FT0211",311.077442419031,311.055807009093,311.222973607258,394.754409790039,363.98899609375,447.625549316406,268,0,161,1
"FT0212",312.171541454446,312.116619681771,312.226200560859,698.305908203125,510.087999084473,781.486938476562,335,0,149,1
"FT0213",312.116274419971,312.061384080061,312.225695078454,263.487396240234,164.312999084473,307.642913818359,277,0,171,1
"FT0214",313.091790303556,313.054768628459,313.128040478486,126.336574554443,81.1787109375,164.312999084473,294,0,164,1
"FT0215",313.077496267067,312.933265296486,313.099492763793,30.6043787002563,27.6475067138672,67.3702392578125,224,0,163,1
"FT0216",313.072636029693,313.055473237152,313.201861363683,259.43798828125,201.808395385742,336.115509033203,270,0,163,1
"FT0217",313.167337480444,313.076890978234,313.239256206014,699.315553588867,525.992999084473,728.017395019531,294,1,162,1
"FT0218",315.079446605581,315.070267183622,315.129716293374,106.612537384033,28.5846347808838,155.74951171875,582,0,171,1
"FT0219",315.107450063831,315.07161048151,315.217470668991,202.676742553711,180.88399609375,303.525787353516,270,0,166,1
"FT0220",315.181060712268,315.179283291901,315.218009389662,421.284713745117,356.134124755859,560.107055664062,272,0,160,1
"FT0221",316.94778052279,316.94589951978,316.948368259601,1085.42901611328,897.051999084473,1136.1943359375,792,1,253,1
"FT0222",317.086212703882,316.945345556025,317.123500612737,49.7666435241699,17.5167560577393,130.881652832031,201,1,167,1
"FT0223",317.951161539228,317.950629616068,317.951679274222,1085.04858398438,1083.40856933594,1093.82653808594,319,1,251,1
"FT0224",318.952087361576,318.951385738325,318.954042446613,1084.77453613281,1083.40893554688,1093.80554199219,239,1,228,1
"FT0225",319.095292519812,318.952469800608,319.130637035248,273.185180664062,165.406875610352,365.313110351562,221,0,132,1
"FT0226",319.037446991367,319.034753982633,319.226577968514,535.022369384766,371.400909423828,614.02599609375,210,1,166,1
"FT0227",319.139206562398,319.134409511087,319.19936997457,215.139106750488,183.918792724609,267.128509521484,212,0,163,1
"FT0228",321.034434496431,321.033220660758,321.20518819818,533.940551757812,529.252258300781,553.23899609375,36,1,35,1
"FT0229",321.154259048018,321.132428695535,321.203326915144,242.537841796875,235.815887451172,312.305358886719,207,0,166,1
"FT0230",323.221634792396,323.167671465231,323.223656878635,679.78125,581.611999511719,734.575999084473,288,0,167,1
"FT0231",323.221458394978,323.134190496404,323.228771090117,832.057250976562,763.4658203125,835.643371582031,167,0,163,1
"FT0232",323.133878036114,323.027823569109,323.222569135927,188.902587890625,31.9620018005371,312.086608886719,209,0,139,1
"FT0233",323.2197557852,323.217562986156,323.260277005491,925.133972167969,891.0078125,994.358154296875,257,1,167,1
"FT0234",324.225331163961,324.169495740474,324.22664063522,679.269104003906,652.298156738281,696.450317382812,177,0,164,1
"FT0235",325.092971533662,325.042448210494,325.130938885638,246.034210205078,123.576812744141,355.530090332031,592,0,173,1
"FT0236",325.042930351314,325.040091261526,325.129359921083,36.3699131011963,28.6004867553711,105.963981628418,216,0,146,1
"FT0237",325.093653234835,325.091033787348,325.202326783518,431.443298339844,384.426544189453,513.6357421875,301,0,159,1
"FT0238",325.184166861883,325.182164940512,325.27516672806,754.091125488281,576.068999084473,833.718505859375,644,0,171,1
"FT0239",326.943901301295,326.899498193601,327.106536179807,36.2430267333984,25.3138275146484,131.88557434082,409,1,164,1
