"","mz","rt","n_samples"
"FT0429",454.926561782621,1085.09130859375,261
"FT0430",455.119253602887,273.587005615234,261
"FT0431",455.20535722731,338.439910888672,261
"FT0432",456.117073481392,281.967666625977,261
"FT0433",457.1328041958,210.578224182129,261
"FT0434",458.957547270146,42.7457695007324,261
"FT0435",459.216368655695,586.733154296875,261
"FT0436",459.255820448914,376.902374267578,261
"FT0437",460.981486507349,36.3326015472412,261
"FT0438",461.16592300241,247.656005859375,261
"FT0439",461.045783553492,28.2650012969971,261
"FT0440",462.169280337197,247.699760437012,261
"FT0441",463.043451608241,28.2875328063965,261
"FT0442",463.218360895962,293.582183837891,261
"FT0443",465.231355697469,396.108032226562,261
"FT0444",465.101458201889,244.608612060547,261
"FT0445",469.226551010452,336.848754882812,261
"FT0446",470.230878607572,359.644897460938,261
"FT0447",471.192802491361,257.954330444336,261
"FT0448",471.231427372765,369.040710449219,261
"FT0449",471.07455787195,28.265944480896,261
"FT0450",472.206399357274,257.382080078125,261
"FT0451",473.144025270336,372.82975769043,261
"FT0452",473.124970096653,259.722625732422,261
"FT0453",474.261483272708,601.599029541016,261
"FT0454",475.129706233021,32.9610157012939,261
"FT0455",475.264545958024,601.206726074219,261
"FT0456",476.132585069357,32.7673187255859,261
"FT0457",476.276710125541,640.3076171875,261
"FT0458",476.966205871619,36.3640213012695,261
"FT0459",477.197203542111,313.411254882812,261
"FT0460",477.280131952618,640.208160400391,261
"FT0461",477.135283325255,32.6380653381348,261
"FT0462",477.160082242563,184.755958557129,261
"FT0463",481.256576742687,706.986938476562,261
"FT0464",482.259569428761,704.709594726562,261
"FT0465",483.2706798682,728.786376953125,261
"FT0466",483.151841849626,353.192687988281,261
"FT0467",484.27465446254,729.463439941406,261
"FT0468",485.185879488789,218.112800598145,261
"FT0469",485.225539947269,415.737258911133,261
"FT0470",485.274522329901,581.347229003906,261
"FT0471",486.277570830633,581.038208007812,261
"FT0472",486.180157886331,217.786087036133,261
"FT0473",487.21846669005,452.689819335938,261
"FT0474",487.279967677713,622.885864257812,261
"FT0475",491.141105175567,235.359748840332,261
"FT0476",493.228186161989,376.046295166016,261
"FT0477",494.230992941815,369.637176513672,261
"FT0478",495.256874219907,409.687545776367,261
"FT0479",497.258942524339,440.908493041992,261
"FT0480",499.25267138665,381.434234619141,261
"FT0481",499.236910506041,271.733139038086,261
"FT0482",500.241463654734,272.063293457031,261
"FT0483",500.918633087458,23.9220485687256,261
"FT0484",501.269667444573,455.349822998047,261
"FT0485",501.919576759155,23.9345483779907,261
"FT0486",502.29187154062,614.677276611328,261
"FT0487",502.904548498153,1086.28540039062,261
"FT0488",502.917498717534,23.8980045318604,261
"FT0489",503.240969067502,630.376739501953,261
"FT0490",503.248540874434,377.060760498047,261
"FT0491",503.918052683059,23.9220485687256,261
"FT0492",505.256432696497,655.641052246094,261
"FT0493",505.227266104027,393.15071105957,261
"FT0494",506.259621076844,653.614074707031,261
"FT0495",507.27155442086,692.500152587891,261
"FT0496",508.275468295312,709.329650878906,261
"FT0497",509.204657970695,275.298004150391,261
"FT0498",509.222325696187,396.844940185547,261
"FT0499",511.14455882816,206.961639404297,261
"FT0500",513.304813444023,666.535949707031,261
"FT0501",514.309063298113,653.000305175781,261
"FT0502",515.119967866458,312.511688232422,261
"FT0503",515.238239577351,752.422912597656,261
"FT0504",516.896887179312,23.9227714538574,261
"FT0505",517.135427668979,372.859680175781,261
"FT0506",517.897513921802,23.9123401641846,261
"FT0507",518.251361452873,691.856872558594,261
"FT0508",518.13828720803,372.834442138672,261
"FT0509",518.896256375398,24.229229927063,261
"FT0510",519.896088257262,23.9538841247559,261
"FT0511",520.267301897761,752.575073242188,261
"FT0512",520.910219940351,1085.08715820312,261
"FT0513",521.1294995167,331.288970947266,261
"FT0514",520.892995398989,23.9489059448242,261
"FT0515",521.251196976217,582.028137207031,261
"FT0516",521.202191192724,291.710723876953,261
"FT0517",521.912783981206,1085.05926513672,261
"FT0518",522.176269915729,331.917449951172,261
"FT0519",522.254517680451,582.103729248047,261
"FT0520",522.913972784367,1085.41101074219,261
"FT0521",523.250265127693,584.054626464844,261
"FT0522",524.887117906404,1086.07836914062,261
"FT0523",527.285412000212,477.012405395508,261
"FT0524",529.155084036983,205.684768676758,261
"FT0525",529.299798881159,516.969909667969,261
"FT0526",530.136321663801,190.855270385742,261
"FT0527",531.280814644287,581.245300292969,261
"FT0528",531.150449592453,400.321105957031,261
"FT0529",532.283994109381,581.008911132812,261
"FT0530",532.874270992113,23.9220485687256,261
"FT0531",533.136308833303,32.7968978881836,261
"FT0532",533.165419937683,290.369125366211,261
"FT0533",533.287463371958,622.359832763672,261
"FT0534",533.875697022046,23.9405422210693,261
