Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
259.021794825745,C04006,M-H[-],29.2681179046631,0.000628707484963797,EC0002
191.055392947316,C04181,M+CH3COO[-],198.304733276367,0.000202052684016962,EC00056
173.045386973855,C04236,M-H[-],258.390151977539,0.000136559374993794,EC00017
214.073103996553,C04236,M+ACN-H[-],184.545364379883,0.00103546332300652,EC00018
341.108640635796,C04332,M-H+O[-],28.6101684570312,0.00159289743396585,EC00057
175.060881988136,C04411,M-H[-],170.575172424316,0.000341545093988316,EC00046
191.055392947316,C04411,M-H+O[-],198.304733276367,0.000740585914002168,EC00047
221.066559303043,C04411,M+HCOO[-],307.146255493164,0.000414303042987285,EC00048
519.896088257262,C04477,M+Na-2H[-],23.9538841247559,5.88091979807359e-05,EC00037
519.896088257262,C04520,M+Na-2H[-],23.9538841247559,5.88091979807359e-05,EC00037
353.087270509914,C04640,M+ACN-H[-],189.901420593262,0.000501976684006422,EC00058
291.196252348901,C04672,M-H[-],661.908050537109,0.000271184328994423,EC00034
292.199777937466,C04672,M(C13)-H[-],623.178100585938,0.000145595763967776,EC00035
307.190654238397,C04672,M-H+O[-],620.911986816406,0.000779294833023414,EC00035
312.171541454446,C04672,M+Na-2H[-],698.305908203125,0.000294387986059519,EC00036
293.211577377412,C04717,M-H2O-H[-],645.10888671875,0.000646155817946692,EC00059
327.217203022431,C04717,M-H+O[-],446.650512695312,0.000530510798967043,EC00060
311.077442419031,C04732,M+Cl[-],394.754409790039,0.00154241903095453,EC00061
293.211577377412,C04780,M-H[-],645.10888671875,0.000646155817946692,EC00062
294.215225009239,C04780,M(C13)-H[-],650.401985839844,0.000398523990952526,EC00062
309.206243587439,C04780,M-H+O[-],570.629272460938,0.000889945790959246,EC00063
291.196252348901,C04785,M-H2O-H[-],661.908050537109,0.000271184328994423,EC00064
309.206243587439,C04785,M-H[-],570.629272460938,0.000879945790984493,EC00065
310.209995406926,C04785,M(C13)-H[-],588.156555175781,0.000528126304004672,EC00065
369.22745830553,C04785,M+CH3COO[-],681.299926757812,0.000236694470061138,EC00064
927.500965007639,C05306,M+Cl[-],701.038452148438,0.00323499236094449,EC00066
341.108640635796,C05400,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C05400,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
341.108640635796,C05402,M-H[-],28.6101684570312,0.000282897433976359,EC0003
387.112503942993,C05402,M+HCOO[-],28.5722103118896,0.00134105700703913,EC0003
193.050421267445,C05608,M+HCOO[-],280.9677734375,0.000376267444977429,EC00015
223.061183661483,C05610,M-H+O[-],282.727645874023,4.98717469952226e-05,EC00067
949.484340577755,C05797,M+Br[-],701.305007446289,0.00014057775490528,EC00068
285.061663816091,C05817,M+HCOO[-],156.632568359375,0.000618816091048302,EC00069
223.061183661483,C05838,M+CH3COO[-],282.727645874023,0.000588661482993302,EC00010
325.092971533662,C05839,M-H[-],246.034210205078,4.80004320593252e-05,EC00070
325.093653234835,C05839,M-H[-],431.443298339844,0.000729701605052924,EC00071
341.088372306059,C05839,M-H+O[-],211.956481933594,0.000538772829031586,EC00070
385.114409979523,C05839,M+CH3COO[-],231.781265258789,0.000914979522974591,EC00070
311.112380324199,C05855,M-H[-],263.830576843262,0.00124320903097441,EC00072
312.116274419971,C05855,M(C13)-H[-],263.487396240234,0.000749113259018941,EC00072
117.019283638739,C06002,M-H+O[-],47.9740104675293,4.98944910134469e-05,EC0006
